siteid,plotid,dwm,date,flow,flow_pred_step_3,comments
DPAC,NE,FD,2006-01-01,NA,NA,NA
DPAC,NE,FD,2006-01-02,NA,NA,NA
DPAC,NE,FD,2006-01-03,NA,NA,NA
DPAC,NE,FD,2006-01-04,NA,NA,NA
DPAC,NE,FD,2006-01-05,NA,NA,NA
DPAC,NE,FD,2006-01-06,NA,NA,NA
DPAC,NE,FD,2006-01-07,NA,NA,NA
DPAC,NE,FD,2006-01-08,NA,NA,NA
DPAC,NE,FD,2006-01-09,NA,NA,NA
DPAC,NE,FD,2006-01-10,NA,NA,NA
DPAC,NE,FD,2006-01-11,NA,NA,NA
DPAC,NE,FD,2006-01-12,NA,NA,NA
DPAC,NE,FD,2006-01-13,NA,NA,NA
DPAC,NE,FD,2006-01-14,NA,NA,NA
DPAC,NE,FD,2006-01-15,NA,NA,NA
DPAC,NE,FD,2006-01-16,NA,NA,NA
DPAC,NE,FD,2006-01-17,NA,NA,NA
DPAC,NE,FD,2006-01-18,NA,NA,NA
DPAC,NE,FD,2006-01-19,NA,NA,NA
DPAC,NE,FD,2006-01-20,NA,NA,NA
DPAC,NE,FD,2006-01-21,NA,NA,NA
DPAC,NE,FD,2006-01-22,NA,NA,NA
DPAC,NE,FD,2006-01-23,NA,NA,NA
DPAC,NE,FD,2006-01-24,NA,NA,NA
DPAC,NE,FD,2006-01-25,NA,NA,NA
DPAC,NE,FD,2006-01-26,NA,NA,NA
DPAC,NE,FD,2006-01-27,NA,NA,NA
DPAC,NE,FD,2006-01-28,NA,NA,NA
DPAC,NE,FD,2006-01-29,NA,NA,NA
DPAC,NE,FD,2006-01-30,NA,NA,NA
DPAC,NE,FD,2006-01-31,NA,NA,NA
DPAC,NE,FD,2006-02-01,NA,NA,NA
DPAC,NE,FD,2006-02-02,NA,NA,NA
DPAC,NE,FD,2006-02-03,NA,NA,NA
DPAC,NE,FD,2006-02-04,NA,NA,NA
DPAC,NE,FD,2006-02-05,NA,NA,NA
DPAC,NE,FD,2006-02-06,NA,NA,NA
DPAC,NE,FD,2006-02-07,NA,NA,NA
DPAC,NE,FD,2006-02-08,NA,NA,NA
DPAC,NE,FD,2006-02-09,NA,NA,NA
DPAC,NE,FD,2006-02-10,NA,NA,NA
DPAC,NE,FD,2006-02-11,NA,NA,NA
DPAC,NE,FD,2006-02-12,NA,NA,NA
DPAC,NE,FD,2006-02-13,NA,NA,NA
DPAC,NE,FD,2006-02-14,NA,NA,NA
DPAC,NE,FD,2006-02-15,NA,NA,NA
DPAC,NE,FD,2006-02-16,NA,NA,NA
DPAC,NE,FD,2006-02-17,NA,NA,NA
DPAC,NE,FD,2006-02-18,NA,NA,NA
DPAC,NE,FD,2006-02-19,NA,NA,NA
DPAC,NE,FD,2006-02-20,NA,NA,NA
DPAC,NE,FD,2006-02-21,NA,NA,NA
DPAC,NE,FD,2006-02-22,NA,NA,NA
DPAC,NE,FD,2006-02-23,NA,NA,NA
DPAC,NE,FD,2006-02-24,NA,NA,NA
DPAC,NE,FD,2006-02-25,NA,NA,NA
DPAC,NE,FD,2006-02-26,NA,NA,NA
DPAC,NE,FD,2006-02-27,NA,NA,NA
DPAC,NE,FD,2006-02-28,NA,NA,NA
DPAC,NE,FD,2006-03-01,NA,NA,NA
DPAC,NE,FD,2006-03-02,NA,NA,NA
DPAC,NE,FD,2006-03-03,NA,NA,NA
DPAC,NE,FD,2006-03-04,NA,NA,NA
DPAC,NE,FD,2006-03-05,NA,NA,NA
DPAC,NE,FD,2006-03-06,NA,NA,NA
DPAC,NE,FD,2006-03-07,NA,NA,NA
DPAC,NE,FD,2006-03-08,NA,NA,NA
DPAC,NE,FD,2006-03-09,NA,NA,NA
DPAC,NE,FD,2006-03-10,NA,NA,NA
DPAC,NE,FD,2006-03-11,NA,NA,NA
DPAC,NE,FD,2006-03-12,NA,NA,NA
DPAC,NE,FD,2006-03-13,NA,NA,NA
DPAC,NE,FD,2006-03-14,NA,NA,NA
DPAC,NE,FD,2006-03-15,NA,NA,NA
DPAC,NE,FD,2006-03-16,NA,NA,NA
DPAC,NE,FD,2006-03-17,NA,NA,NA
DPAC,NE,FD,2006-03-18,NA,NA,NA
DPAC,NE,FD,2006-03-19,NA,NA,NA
DPAC,NE,FD,2006-03-20,NA,NA,NA
DPAC,NE,FD,2006-03-21,NA,NA,NA
DPAC,NE,FD,2006-03-22,NA,NA,NA
DPAC,NE,FD,2006-03-23,NA,NA,NA
DPAC,NE,FD,2006-03-24,NA,NA,NA
DPAC,NE,FD,2006-03-25,NA,NA,NA
DPAC,NE,FD,2006-03-26,NA,NA,NA
DPAC,NE,FD,2006-03-27,NA,NA,NA
DPAC,NE,FD,2006-03-28,NA,NA,NA
DPAC,NE,FD,2006-03-29,NA,NA,NA
DPAC,NE,FD,2006-03-30,NA,NA,NA
DPAC,NE,FD,2006-03-31,NA,NA,NA
DPAC,NE,FD,2006-04-01,NA,NA,NA
DPAC,NE,FD,2006-04-02,NA,NA,NA
DPAC,NE,FD,2006-04-03,NA,NA,NA
DPAC,NE,FD,2006-04-04,NA,NA,NA
DPAC,NE,FD,2006-04-05,NA,NA,NA
DPAC,NE,FD,2006-04-06,NA,NA,NA
DPAC,NE,FD,2006-04-07,NA,NA,NA
DPAC,NE,FD,2006-04-08,NA,NA,NA
DPAC,NE,FD,2006-04-09,NA,NA,NA
DPAC,NE,FD,2006-04-10,NA,NA,NA
DPAC,NE,FD,2006-04-11,NA,NA,NA
DPAC,NE,FD,2006-04-12,NA,NA,NA
DPAC,NE,FD,2006-04-13,NA,NA,NA
DPAC,NE,FD,2006-04-14,NA,NA,NA
DPAC,NE,FD,2006-04-15,NA,NA,NA
DPAC,NE,FD,2006-04-16,NA,NA,NA
DPAC,NE,FD,2006-04-17,NA,NA,NA
DPAC,NE,FD,2006-04-18,NA,NA,NA
DPAC,NE,FD,2006-04-19,NA,NA,NA
DPAC,NE,FD,2006-04-20,NA,NA,NA
DPAC,NE,FD,2006-04-21,NA,NA,NA
DPAC,NE,FD,2006-04-22,NA,NA,NA
DPAC,NE,FD,2006-04-23,NA,NA,NA
DPAC,NE,FD,2006-04-24,NA,NA,NA
DPAC,NE,FD,2006-04-25,NA,NA,NA
DPAC,NE,FD,2006-04-26,NA,NA,NA
DPAC,NE,FD,2006-04-27,NA,NA,NA
DPAC,NE,FD,2006-04-28,NA,NA,NA
DPAC,NE,FD,2006-04-29,NA,NA,NA
DPAC,NE,FD,2006-04-30,NA,NA,NA
DPAC,NE,FD,2006-05-01,NA,NA,NA
DPAC,NE,FD,2006-05-02,NA,NA,NA
DPAC,NE,FD,2006-05-03,NA,NA,NA
DPAC,NE,FD,2006-05-04,NA,NA,NA
DPAC,NE,FD,2006-05-05,NA,NA,NA
DPAC,NE,FD,2006-05-06,NA,NA,NA
DPAC,NE,FD,2006-05-07,NA,NA,NA
DPAC,NE,FD,2006-05-08,NA,NA,NA
DPAC,NE,FD,2006-05-09,NA,NA,NA
DPAC,NE,FD,2006-05-10,NA,NA,NA
DPAC,NE,FD,2006-05-11,NA,NA,NA
DPAC,NE,FD,2006-05-12,NA,NA,NA
DPAC,NE,FD,2006-05-13,NA,NA,NA
DPAC,NE,FD,2006-05-14,NA,NA,NA
DPAC,NE,FD,2006-05-15,NA,NA,NA
DPAC,NE,FD,2006-05-16,NA,NA,NA
DPAC,NE,FD,2006-05-17,NA,NA,NA
DPAC,NE,FD,2006-05-18,NA,NA,NA
DPAC,NE,FD,2006-05-19,NA,NA,NA
DPAC,NE,FD,2006-05-20,NA,NA,NA
DPAC,NE,FD,2006-05-21,NA,NA,NA
DPAC,NE,FD,2006-05-22,NA,NA,NA
DPAC,NE,FD,2006-05-23,NA,NA,NA
DPAC,NE,FD,2006-05-24,NA,NA,NA
DPAC,NE,FD,2006-05-25,NA,NA,NA
DPAC,NE,FD,2006-05-26,NA,NA,NA
DPAC,NE,FD,2006-05-27,NA,NA,NA
DPAC,NE,FD,2006-05-28,NA,NA,NA
DPAC,NE,FD,2006-05-29,NA,NA,NA
DPAC,NE,FD,2006-05-30,NA,NA,NA
DPAC,NE,FD,2006-05-31,NA,NA,NA
DPAC,NE,FD,2006-06-01,NA,NA,NA
DPAC,NE,FD,2006-06-02,NA,NA,NA
DPAC,NE,FD,2006-06-03,NA,NA,NA
DPAC,NE,FD,2006-06-04,NA,NA,NA
DPAC,NE,FD,2006-06-05,NA,NA,NA
DPAC,NE,FD,2006-06-06,NA,NA,NA
DPAC,NE,FD,2006-06-07,NA,NA,NA
DPAC,NE,FD,2006-06-08,NA,NA,NA
